City	Province	Region	Avg AQI	Temp Range	Cost Tier	Min Wage
昆明	云南省	西南	42	8°C~22°C	Very Low	1990
贵阳	贵州省	西南	40	5°C~24°C	Very Low	1890
珠海	广东省	华南	38	15°C~28°C	Medium	2300
海口	海南省	华南	35	14°C~30°C	Medium	1830
长沙	湖南省	华中	55	5°C~33°C	Very Low	1930
南宁	广西壮族自治区	华南	45	12°C~30°C	Very Low	1810
厦门	福建省	华东	40	13°C~28°C	High	2030
三亚	海南省	华南	30	18°C~32°C	High	1830
成都	四川省	西南	58	5°C~30°C	Medium	2100
南京	江苏省	华东	55	0°C~32°C	Medium	2280
惠州	广东省	华南	42	14°C~28°C	Low	1900
福州	福建省	华东	42	10°C~30°C	Medium	1960
南平	福建省	华东	36	8°C~28°C	Very Low	1810
宁波	浙江省	华东	48	3°C~30°C	Medium	2280
丽水	浙江省	华东	38	6°C~28°C	Very Low	1840
杭州	浙江省	华东	52	2°C~32°C	High	2280
宁德	福建省	华东	38	9°C~29°C	Very Low	1810
中山	广东省	华南	42	14°C~28°C	Medium	2300
大理	云南省	西南	34	5°C~23°C	Very Low	1690
威海	山东省	华东	40	-2°C~26°C	Low	2010
丽江	云南省	西南	32	4°C~22°C	Very Low	1690
无锡	江苏省	华东	52	1°C~31°C	Medium	2280
苏州	江苏省	华东	55	1°C~31°C	High	2280
烟台	山东省	华东	48	-2°C~26°C	Low	2010
青岛	山东省	华东	50	-1°C~27°C	Medium	2100
合肥	安徽省	华东	55	0°C~31°C	Medium	2060
漳州	福建省	华东	42	12°C~29°C	Low	1960
潮州	广东省	华南	44	12°C~28°C	Very Low	1720
汕头	广东省	华南	46	13°C~28°C	Very Low	1720
南通	江苏省	华东	50	1°C~30°C	Medium	2280
金华	浙江省	华东	48	4°C~30°C	Low	1840
泰州	江苏省	华东	52	0°C~29°C	Low	2280
常州	江苏省	华东	50	1°C~31°C	Medium	2280
重庆	重庆市	西南	55	7°C~33°C	Medium	2100
泉州	福建省	华东	44	12°C~28°C	Medium	1960
绍兴	浙江省	华东	48	3°C~30°C	Medium	1840
湖州	浙江省	华东	46	2°C~30°C	Medium	1840
嘉兴	浙江省	华东	48	2°C~30°C	Medium	1840
温州	浙江省	华东	46	8°C~29°C	Medium	1840
绵阳	四川省	西南	52	4°C~28°C	Very Low	1970
镇江	江苏省	华东	52	1°C~30°C	Medium	2280
宜昌	湖北省	华中	55	4°C~28°C	Very Low	1800
扬州	江苏省	华东	52	1°C~30°C	Medium	2280
济南	山东省	华东	58	-1°C~31°C	Medium	2100
岳阳	湖南省	华中	52	4°C~30°C	Very Low	1800
芜湖	安徽省	华东	52	2°C~30°C	Very Low	1930
上海	上海市	华东	50	1°C~31°C	Very High	2690
北京	北京市	华北	62	-5°C~30°C	Very High	2420
广州	广东省	华南	48	13°C~31°C	High	2300
深圳	广东省	华南	38	15°C~29°C	Very High	2360
武汉	湖北省	华中	58	2°C~32°C	Medium	2010
西安	陕西省	西北	65	-2°C~32°C	Medium	2160
郑州	河南省	华中	62	-1°C~31°C	Medium	2000
天津	天津市	华北	60	-4°C~30°C	Medium	2180
大连	辽宁省	东北	48	-5°C~27°C	Medium	1910
沈阳	辽宁省	东北	55	-12°C~28°C	Low	1910
哈尔滨	黑龙江省	东北	52	-20°C~28°C	Very Low	1860
南昌	江西省	华东	52	3°C~32°C	Low	1850
太原	山西省	华北	58	-7°C~29°C	Very Low	1880
石家庄	河北省	华北	62	-4°C~31°C	Very Low	1900
兰州	甘肃省	西北	58	-6°C~28°C	Very Low	1820
长春	吉林省	东北	50	-17°C~28°C	Very Low	1880
呼和浩特	内蒙古自治区	华北	55	-13°C~28°C	Very Low	1980
银川	宁夏回族自治区	西北	50	-9°C~28°C	Very Low	1840
西宁	青海省	西北	48	-8°C~25°C	Very Low	1700
拉萨	西藏自治区	西南	35	-2°C~22°C	Medium	1850
桂林	广西壮族自治区	华南	42	7°C~29°C	Very Low	1810
北海	广西壮族自治区	华南	38	14°C~30°C	Very Low	1810
湛江	广东省	华南	42	15°C~28°C	Very Low	1720
黄山	安徽省	华东	38	5°C~28°C	Very Low	1870
张家界	湖南省	华中	40	6°C~27°C	Very Low	1800
洛阳	河南省	华中	58	-1°C~31°C	Very Low	2000
秦皇岛	河北省	华北	48	-6°C~27°C	Low	1900
徐州	江苏省	华东	56	-1°C~31°C	Low	2010
连云港	江苏省	华东	50	-1°C~29°C	Very Low	2010
盐城	江苏省	华东	50	0°C~30°C	Very Low	2010
六安	安徽省	华东	48	2°C~30°C	Very Low	1780
襄阳	湖北省	华中	55	2°C~30°C	Very Low	1800
